,JNJ_close,JNJ_volume,JNJ_return,MRK_close,MRK_volume,MRK_return,PFE_close,PFE_volume,PFE_return,LLY_close,LLY_volume,LLY_return,ABBV_close,ABBV_volume,ABBV_return,ZTS_close,ZTS_volume,ZTS_return,ALXN_close,ALXN_volume,ALXN_return,VTRS_close,VTRS_volume,VTRS_return,CTLT_close,CTLT_volume,CTLT_return,PRGO_close,PRGO_volume,PRGO_return
2015-01-02,104.5199966430664,5753600,,57.189998626708984,7076300,,29.724857330322266,16371571,,70.05999755859375,3146200,,65.88999938964844,5086100,,43.310001373291016,1784200,,186.60000610351562,690500,,56.349998474121094,1398000,,27.510000228881836,187300,,166.6300048828125,710700,
2015-01-05,103.79000091552734,8079300,-0.0070333916668253215,58.040000915527344,15961200,0.014645111568062703,29.563566207885742,24786391,-0.005455739720382613,69.37000274658203,4845500,-0.009946587641525152,64.6500015258789,8007400,-0.0191801675870521,43.04999923706055,3112100,-0.006039538695430223,182.1699981689453,1511000,-0.02431798857714157,55.720001220703125,2996200,-0.011306483123045755,28.079999923706055,455200,0.020299134486215092,164.91000366210938,725500,-0.010429938648399424
2015-01-06,103.27999877929688,7428000,-0.004938053275158461,60.31999969482422,24287700,0.03779838844217553,29.81024742126465,29468681,0.008275047499368967,69.72000122070312,5127400,0.00502005834757735,64.33000183105469,5483700,-0.004974346117144706,42.630001068115234,3977200,-0.009852173549661173,177.9499969482422,1411700,-0.023714533818904968,54.18000030517578,6610900,-0.02842378934760228,26.549999237060547,622100,-0.05762714616239289,164.60000610351562,878500,-0.0018833386822525086
2015-01-07,105.55999755859375,7931700,0.021599079500085286,61.61000061035156,18634500,0.020938174042325865,30.218215942382812,20248816,0.013500748088372894,69.2300033569336,9043000,-0.007077825220420945,66.93000030517578,8283300,0.03884653312813496,43.5099983215332,2481800,0.020225173232940714,187.92999267578125,1643900,0.05310485881174195,56.11000061035156,3663000,0.03439672579186751,27.809999465942383,457200,0.04530745246597001,167.35000610351562,851300,0.01643262563312347
2015-01-08,106.38999938964844,9916000,0.007801502357518062,62.849998474121094,19121000,0.019729481207228807,30.834915161132812,49169522,0.02000002969125548,70.87000274658203,7472200,0.023140952816282097,67.62999725341797,7949000,0.01035039149298221,44.18000030517578,3121300,0.015165277931518846,183.8000030517578,1974600,-0.022470019344126117,56.650001525878906,3164000,0.009532231261823709,27.989999771118164,183800,0.006430879122818602,171.1699981689453,1117200,0.022316948684309407
2015-01-09,104.94000244140625,7364800,-0.013817390075360444,62.560001373291016,12638700,-0.0046355034281359165,30.977230072021484,26083022,0.0045941780642682496,69.93000030517578,8141700,-0.013442048295496388,65.77999877929688,8779900,-0.028124027188388287,44.25,2999100,0.0015819140073269774,184.27000427246094,1344900,0.0025506116557537113,55.84000015258789,2193600,-0.01450575521270797,27.56999969482422,426300,-0.015233952881500862,169.75,399800,-0.008365232217645435
2015-01-12,104.58000183105469,6839000,-0.00344234656768443,62.29999923706055,11569000,-0.004173389075674349,31.091081619262695,24867865,0.003661871550029106,69.41999816894531,5797600,-0.007346616964599916,65.76000213623047,6159800,-0.0003040851949028314,43.41999816894531,2168300,-0.019115657900886745,183.36000061035156,752400,-0.004962934440882636,55.27000045776367,2955100,-0.010313003258608658,27.670000076293945,449100,0.003614036183375406,169.32000732421875,489800,-0.0025395266783675946
2015-01-13,104.76000213623047,10151100,0.0017182159364764796,62.189998626708984,10035200,-0.0017687829680111957,30.77798843383789,35989568,-0.010172633149754005,69.37999725341797,3364800,-0.0005765482431663418,63.38999938964844,13908400,-0.03738764425621768,42.810001373291016,3668600,-0.014248931933809078,179.2100067138672,1598700,-0.02315715496350824,55.47999954223633,2325700,0.003785131330305549,28.1299991607666,504400,0.016352616359627373,163.7899932861328,1488100,-0.033762832070120936
2015-01-14,104.0,8887700,-0.007307712848369892,62.63999938964844,9858100,0.007183920295724299,30.81593894958496,32301727,0.0012315222914076238,69.76000213623047,3376100,0.005447317534056398,63.70000076293945,9448300,0.004866583509860393,43.029998779296875,2481300,0.005112651923004637,175.39999389648438,1462900,-0.021721852622363053,54.59000015258789,2420500,-0.016303341036100844,27.969999313354492,231500,-0.005720409415087694,162.69000244140625,920300,-0.006761268843933607
2015-01-15,102.48999786376953,10834800,-0.014733165847437862,61.880001068115234,9564600,-0.012281808474706148,30.74003791809082,27009593,-0.002469126150604782,69.73999786376953,4055000,-0.00028684073807994586,62.88999938964844,6149100,-0.012879653063319,42.939998626708984,2719300,-0.002095951454733161,172.8699951171875,1680100,-0.014635268414173347,52.7400016784668,4026100,-0.0350777098074388,27.399999618530273,391000,-0.020802908859850318,158.50999450683594,934000,-0.026370626959993017
