,JNJ,PFE,LLY,PRGO,CTLT,VTRS,ALXN,ZTS,ABBV,MRK,SPY
2015-01-02,,,,,,,,,,,
2015-01-05,-0.0070333916668253215,-0.005455739720382613,-0.009946587641525152,-0.010429938648399424,0.020299134486215092,-0.011306483123045755,-0.02431798857714157,-0.006039538695430223,-0.0191801675870521,0.014645111568062703,-0.018391787788157903
2015-01-06,-0.004938053275158461,0.008275047499368967,0.00502005834757735,-0.0018833386822525086,-0.05762714616239289,-0.02842378934760228,-0.023714533818904968,-0.009852173549661173,-0.004974346117144706,0.03779838844217553,-0.009508526808336727
2015-01-07,0.021599079500085286,0.013500748088372894,-0.007077825220420945,0.01643262563312347,0.04530745246597001,0.03439672579186751,0.05310485881174195,0.020225173232940714,0.03884653312813496,0.020938174042325865,0.0123077962751388
2015-01-08,0.007801502357518062,0.02000002969125548,0.023140952816282097,0.022316948684309407,0.006430879122818602,0.009532231261823709,-0.022470019344126117,0.015165277931518846,0.01035039149298221,0.019729481207228807,0.017435631103978978
2015-01-09,-0.013817390075360444,0.0045941780642682496,-0.013442048295496388,-0.008365232217645435,-0.015233952881500862,-0.01450575521270797,0.0025506116557537113,0.0015819140073269774,-0.028124027188388287,-0.0046355034281359165,-0.008078305490743573
2015-01-12,-0.00344234656768443,0.003661871550029106,-0.007346616964599916,-0.0025395266783675946,0.003614036183375406,-0.010313003258608658,-0.004962934440882636,-0.019115657900886745,-0.0003040851949028314,-0.004173389075674349,-0.007895416490034161
2015-01-13,0.0017182159364764796,-0.010172633149754005,-0.0005765482431663418,-0.033762832070120936,0.016352616359627373,0.003785131330305549,-0.02315715496350824,-0.014248931933809078,-0.03738764425621768,-0.0017687829680111957,-0.002820625793076838
2015-01-14,-0.007307712848369892,0.0012315222914076238,0.005447317534056398,-0.006761268843933607,-0.005720409415087694,-0.016303341036100844,-0.021721852622363053,0.005112651923004637,0.004866583509860393,0.007183920295724299,-0.006073888365010045
2015-01-15,-0.014733165847437862,-0.002469126150604782,-0.00028684073807994586,-0.026370626959993017,-0.020802908859850318,-0.0350777098074388,-0.014635268414173347,-0.002095951454733161,-0.012879653063319,-0.012281808474706148,-0.009245283380517099
2015-01-16,0.014898145310631999,0.012195135405345704,0.013299411960209276,0.012521864640704101,0.023868902158110303,0.05821425574166434,0.041953043791810724,0.028946236061948887,0.0255655640296395,0.018245244065582533,0.012944505019818338
2015-01-20,-0.027149767747493784,0.009063438971014099,0.018742169887542955,0.008952256203705256,-0.0028581609274825224,-0.01578086187246484,0.014312220868182264,-0.015151511170906226,-0.017178883206957336,-0.006708164268503018,0.0021280445460589493
2015-01-21,0.005986266940306615,-0.01409311249754866,0.0029069641567359035,-0.01938449142731476,-0.016709011006156516,-0.00989193834068426,-0.021198277185113395,0.015593189304157838,-0.011961722342486924,-0.007239394530953943,0.005022672164980058
2015-01-22,0.017925988551055507,0.005181311593253622,0.003036174765150787,-0.017156344411982792,0.013615161692730575,-0.002755355063607836,0.0058785091743973235,0.005841346469056599,0.004445836477167632,0.006870111904896715,0.014653101324723458
2015-01-23,-0.01526423908582233,-0.01109400957928084,-0.004575098344940669,0.005031804370272691,-0.02610290678521025,-0.004242751265830713,0.01636482587901176,-0.008839514938577925,-0.008809854787313671,-0.0016002315800153332,-0.0055130256919682505
2015-01-26,0.0005867904042124165,0.010670766463809737,-0.0002773074871328691,0.003364430796698065,0.03988701601869889,0.04559859484818411,-0.00306419804232302,-0.0006803987115684825,0.006366409584938121,0.0052530725558824,0.002336314113745083
2015-01-27,-0.0016652542309549111,-0.006135007157693352,-0.005297605404074435,-0.009742992923407448,-0.00460989919324566,-0.00888099479175242,-0.01330668600777677,-0.018244825160439737,0.004278869248739185,-0.00415598330923639,-0.013366831319186779
2015-01-28,-0.006010967291866508,-0.02034425545519349,-0.010708780092408447,-0.016285584583801627,-0.016582588162103184,-0.019188948703579595,-0.014512328995218432,-0.004407298167918883,-0.020210186432308767,-0.018063475940931228,-0.012990936901392344
2015-01-29,0.008790720068654119,-0.0037700134528298314,0.01580917182081937,0.0031818538517146915,-0.00072151725321423,-0.006376430911098997,0.05461315663810056,0.004847624329455997,0.020120413169432694,0.010307608118467084,0.00915889921879444
2015-01-30,-0.02236866264651767,-0.018560023962031297,-0.0015277862548828125,-0.014893860715839707,-0.003620509452666231,-0.03273749414517553,-0.02624971302335609,-0.013807633019155708,-0.04589893169510992,-0.030026566190188102,-0.01273506434588221
2015-02-02,0.00684322551696846,0.012638244595584875,-0.004324139322594075,0.004330632741157461,0.0007235365722377257,0.000751966570083607,-0.028456010418831796,0.01498389833735307,0.005766100237548172,0.009855490773514447,0.012232573509813965
2015-02-03,0.015908620612753718,0.011555279696371289,-0.011285132721762039,-0.007004080773380863,0.005039643395846717,0.02564575053976324,-0.003718121134210041,0.0027585961352819682,0.01540958214803401,0.002294319708262558,0.01425501963068128
2015-02-04,-0.010852392141844112,0.0015590677362933242,-0.009541414943008794,0.0009242104145569738,-0.008348510197980717,-0.025742181519376253,0.004374888152276028,-0.000920407647722092,-0.08328943403928582,-0.033361579105097204,-0.003822399238600923
2015-02-05,0.01073588213888432,0.027887251247172857,0.016664366060488992,0.022898813647103566,-0.0021825924496885626,0.019889466510716033,-0.0006734866611701796,-0.0013824321770582004,0.018623931708829738,0.0020280367686025327,0.009994166540817927
2015-02-06,-0.013452033935487016,0.005426599300397366,-0.014923295091662252,-0.03126453063922784,-0.0018221295950227655,-0.007608087809532709,-0.014462183086697512,0.005955069226795112,-0.019156416930712093,-0.006463637480869738,-0.0027730092773881527
2015-02-09,-0.013229101132221125,-0.003023907305505459,-0.01077431394086885,-0.01677372759662059,0.003992693504505012,-0.016792441314121463,-0.024559600739920428,-0.018427826806866953,-0.025594844905532953,-0.007886148980502078,-0.004495910408994893
2015-02-10,0.005680116626720367,0.03162517741372439,0.012624104817708334,0.01407042221848904,0.011836439513615137,0.01797297014570065,0.028176207482853433,0.023684830770698294,0.02478466975812043,0.008835966976194085,0.010541041059504925
2015-02-11,0.00029885216295773043,0.0029196674131260715,-0.00786280308439147,-0.014820344982654835,0.04911325201384012,-0.003906304049972536,-0.016657057000855548,0.04063798539980269,-0.00352797261923419,-0.0018726045711813463,0.0005798826725689245
2015-02-12,-0.01970738281082884,0.017780401098212436,0.008223477117440972,0.01931237420207304,-0.025892224390958153,0.013758943736817653,0.015714552705061127,0.0004367865770644643,0.006310264945940624,0.0023777069821462713,0.00952520347791131
2015-02-13,0.011845013778784172,-0.006639711169546285,0.00042515278252332287,0.001457927300209457,-0.03851742181360852,0.023992841346429025,0.03302424288437246,-0.00725916932909493,0.01722652908084063,-0.0011902685459893496,0.004099535777270849
2015-02-17,0.008164074819717199,-0.0017351292574209534,0.013974287788106674,0.006583278737203059,-0.006583771184022586,0.012029016802753222,-0.01855055061063291,0.01601735208325816,0.011410115288048616,-0.0003402016916517762,0.0015706145832947525
2015-02-18,-0.004801954395057166,-0.002900308315181141,-0.007745323275841229,-0.008632056708385504,0.014419597037875173,0.000353677418806478,0.007321493785485742,-0.007633637960007994,0.008777860280727969,0.00017003948406348564,9.519950504971287e-05
