,JNJ,PFE,LLY,PRGO,CTLT,VTRS,ALXN,ZTS,ABBV,MRK
2015-01-02,104.5199966430664,29.724857330322266,70.05999755859375,166.6300048828125,27.510000228881836,56.349998474121094,186.60000610351562,43.310001373291016,65.88999938964844,57.189998626708984
2015-01-05,103.79000091552734,29.563566207885742,69.37000274658203,164.91000366210938,28.079999923706055,55.720001220703125,182.1699981689453,43.04999923706055,64.6500015258789,58.040000915527344
2015-01-06,103.27999877929688,29.81024742126465,69.72000122070312,164.60000610351562,26.549999237060547,54.18000030517578,177.9499969482422,42.630001068115234,64.33000183105469,60.31999969482422
2015-01-07,105.55999755859375,30.218215942382812,69.2300033569336,167.35000610351562,27.809999465942383,56.11000061035156,187.92999267578125,43.5099983215332,66.93000030517578,61.61000061035156
2015-01-08,106.38999938964844,30.834915161132812,70.87000274658203,171.1699981689453,27.989999771118164,56.650001525878906,183.8000030517578,44.18000030517578,67.62999725341797,62.849998474121094
2015-01-09,104.94000244140625,30.977230072021484,69.93000030517578,169.75,27.56999969482422,55.84000015258789,184.27000427246094,44.25,65.77999877929688,62.560001373291016
2015-01-12,104.58000183105469,31.091081619262695,69.41999816894531,169.32000732421875,27.670000076293945,55.27000045776367,183.36000061035156,43.41999816894531,65.76000213623047,62.29999923706055
2015-01-13,104.76000213623047,30.77798843383789,69.37999725341797,163.7899932861328,28.1299991607666,55.47999954223633,179.2100067138672,42.810001373291016,63.38999938964844,62.189998626708984
2015-01-14,104.0,30.81593894958496,69.76000213623047,162.69000244140625,27.969999313354492,54.59000015258789,175.39999389648438,43.029998779296875,63.70000076293945,62.63999938964844
2015-01-15,102.48999786376953,30.74003791809082,69.73999786376953,158.50999450683594,27.399999618530273,52.7400016784668,172.8699951171875,42.939998626708984,62.88999938964844,61.880001068115234
2015-01-16,104.04000091552734,31.119544982910156,70.68000030517578,160.52000427246094,28.06999969482422,56.0,180.44000244140625,44.220001220703125,64.54000091552734,63.029998779296875
2015-01-20,101.29000091552734,31.4041748046875,72.02999877929688,161.97000122070312,27.989999771118164,55.130001068115234,183.05999755859375,43.560001373291016,63.45000076293945,62.61000061035156
2015-01-21,101.9000015258789,30.967742919921875,72.23999786376953,158.88999938964844,27.530000686645508,54.59000015258789,179.25999450683594,44.25,62.70000076293945,62.15999984741211
2015-01-22,103.76000213623047,31.129032135009766,72.45999908447266,156.2100067138672,27.90999984741211,54.439998626708984,180.32000732421875,44.5099983215332,62.97999954223633,62.59000015258789
2015-01-23,102.19999694824219,30.7874755859375,72.12999725341797,157.0,27.200000762939453,54.209999084472656,183.32000732421875,44.119998931884766,62.43000030517578,62.4900016784668
2015-01-26,102.26000213623047,31.119544982910156,72.11000061035156,157.52999877929688,28.329999923706055,56.79999923706055,182.75999450683594,44.09000015258789,62.83000183105469,62.81999969482422
2015-01-27,102.08999633789062,30.929790496826172,71.7300033569336,156.00999450683594,28.200000762939453,56.29999923706055,180.36000061035156,43.29999923706055,63.099998474121094,62.560001373291016
2015-01-28,101.4800033569336,30.313093185424805,70.97000122070312,153.50999450683594,27.739999771118164,55.2400016784668,177.77999877929688,43.11000061035156,61.849998474121094,61.45000076293945
2015-01-29,102.37999725341797,30.199241638183594,72.11000061035156,154.0,27.719999313354492,54.88999938964844,188.0500030517578,43.31999969482422,63.119998931884766,62.09000015258789
2015-01-30,100.13999938964844,29.648956298828125,72.0,151.74000549316406,27.6200008392334,53.150001525878906,183.24000549316406,42.72999954223633,60.349998474121094,60.279998779296875
2015-02-02,100.83000183105469,30.02846336364746,71.69000244140625,152.39999389648438,27.639999389648438,53.189998626708984,178.1699981689453,43.380001068115234,60.70000076293945,60.880001068115234
2015-02-03,102.45999908447266,30.379507064819336,70.88999938964844,151.33999633789062,27.780000686645508,54.59000015258789,177.50999450683594,43.5,61.650001525878906,61.02000045776367
2015-02-04,101.36000061035156,30.426944732666016,70.22000122070312,151.47999572753906,27.549999237060547,53.220001220703125,178.2899932861328,43.459999084472656,56.90999984741211,59.04999923706055
2015-02-05,102.45999908447266,31.2998104095459,71.41000366210938,155.02999877929688,27.489999771118164,54.29999923706055,178.1699981689453,43.400001525878906,57.9900016784668,59.16999816894531
2015-02-06,101.0999984741211,31.47058868408203,70.36000061035156,150.3300018310547,27.440000534057617,53.88999938964844,175.6300048828125,43.65999984741211,56.900001525878906,58.790000915527344
2015-02-09,99.77999877929688,31.37571144104004,69.61000061035156,147.85000610351562,27.549999237060547,53.0,171.4199981689453,42.869998931884766,55.47999954223633,58.33000183105469
2015-02-10,100.3499984741211,32.4003791809082,70.5,149.9600067138672,27.8799991607666,53.970001220703125,176.38999938964844,43.90999984741211,56.88999938964844,58.849998474121094
2015-02-11,100.37999725341797,32.49525451660156,69.94999694824219,147.77000427246094,29.31999969482422,53.7599983215332,173.5,45.77000045776367,56.689998626708984,58.7400016784668
2015-02-12,98.44000244140625,33.083492279052734,70.52999877929688,150.67999267578125,28.579999923706055,54.5099983215332,176.27000427246094,45.790000915527344,57.04999923706055,58.880001068115234
2015-02-13,99.62000274658203,32.86527633666992,70.55999755859375,150.89999389648438,27.520000457763672,55.849998474121094,182.2899932861328,45.459999084472656,58.04999923706055,58.810001373291016
2015-02-17,100.44000244140625,32.808349609375,71.55999755859375,151.89999389648438,27.34000015258789,56.529998779296875,178.97000122070312,46.20000076293945,58.720001220703125,58.790000915527344
2015-02-18,99.95999908447266,32.713470458984375,71.01000213623047,150.60000610351562,27.739999771118164,56.54999923706055,180.2899932861328,45.849998474121094,59.2400016784668,58.79999923706055
